point	title	description	icon
-71.46756599999999,42.7653662	New England	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-80.4549026,38.5976262	North America	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
7.4943,6.4402	Africa	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
14.550072,47.516231	Europe	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.0,20.0	West Indies	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-63.0,13.0	British Caribbean Islands	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.0,16.0	French, Spanish, and Dutch Caribbean	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.20528,11.24194	Spanish Coast	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-1.1743197,52.3555177	England	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
2.213749,46.227638	France	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
10.451526,51.165691	Germany	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-3.435973,55.378051	Great Britain	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-8.24389,53.41291	Ireland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
5.291265999999999,52.132633	The Netherlands	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
19.145136,51.919438	Poland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-8.224454,39.39987199999999	Portugal	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
30.26417,59.89444	Russia	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
15.1333333,59.1166667	Sweden	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-3.74922,40.46366700000001	Spain	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
8.227511999999999,46.818188	Switzerland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.8175207,17.0746557	Antigua	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.0,24.25	Bahama Islands	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-59.543198,13.193887	Barbados	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-64.7505,32.3078	Bermuda	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-84.49983,49.25014	Canada	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
23.7213541,56.6511091	Courland	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.781167,21.521757	Cuba	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-68.99002,12.16957	Curacao	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.37097600000001,15.414999	Dominica	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.67899999999999,12.1165	Grenada	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.32689999999999,4.9227	Cayenne, French Guiana	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-5.353585,36.140751	Gibraltar	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-44.4400156,60.90831739999999	Greenland	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.6538052,16.1296293	Guadeloupe	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-15.180413,11.803749	Guinea	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
77.0,20.0	India	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.297508,18.109581	Jamaica	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.2,17.3	Leeward Islands	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-16.9594723,32.76070740000001	Madeira	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.024174,14.641528	Martinique	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-83.766037,12.01066	Miskito Coast	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.187366,16.742498	Montserrat	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.58333,17.15	Nevis	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-80.782127,8.537981	Panama	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-66.590149,18.220833	Puerto Rico	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-63.2326763,17.6354642	Saba	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.7559043,17.3433796	St. Christophers	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.973555,17.4890306	St. Eustatius	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.978893,13.909444	St. Lucia	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-64.95340089999999,18.335361	St. Thomas	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.21024420000001,13.2648773	St. Vincent	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.162651,18.735693	Santo Domingo	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-56.027783,3.919305	Surinam	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.6517354,11.2673788	Tobago	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.6517354,11.2673788	Trinidad	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-54.6103488,48.954408	Newfoundland	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-63.744311,45.68198659999999	Nova Scotia	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.851817,46.2486851	Cape Breton	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.21477639999999,44.100351	Maine	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-68.77781379999999,44.80118210000001	Province of Sagadahock	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.5723953,43.1938516	New Hampshire	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.3824374,42.4072107	Massachusetts	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.4774291,41.5800945	Rhode Island	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.087749,41.6032207	Connecticut	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.21793260000001,43.2994285	New York	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.4056612,40.0583238	New Jersey	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.1945247,41.2033216	Pennsylvania	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.52766989999999,38.9108325	Delaware	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.64127119999999,39.0457549	Maryland	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-78.6568942,37.4315734	Virginia	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.01929969999999,35.7595731	North Carolina	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-81.1637245,33.836081	South Carolina	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-81.92845,31.93659	Georgia	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-81.5157535,27.6648274	Florida	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-92.14502449999999,31.2448234	Louisiana	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.76256,17.00681	English Harbour	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.7633021,17.0044567	Fort Berkeley	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-59.466667,13.116667	St. Philip Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-59.6,13.116667	St. Michael Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-59.5996,13.1012	Government House, Barbados	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.345556,25.078333	Fort Nassau	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-64.65662100000002,45.770421	Shepody	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.9120289,47.055348	Caplin Bay, NL	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.8826702,47.0339483	Ferryland	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.71283150000001,47.5605413	St. John's	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.19696,47.72044	Mosquito, NL	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.963421,47.242185	Placentia	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.79051399999999,47.3051573	Bay Bulls	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.3633333,46.7366667	Trepassey	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.582031,46.912689	St. Mary's, NL	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.3587865,48.3678064	Trinity, NL	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.854028,47.628028	Portugal Cove	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.9599495,46.9755469	Fermeuse	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.7051779,47.46978379999999	Petty Harbour, NL	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-52.680729,47.581437	Quidi Vidi	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-53.961513,47.249487	Ft. Frederick, Placentia, NL	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-65.515822,44.742226	Annapolis Royal	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.9944422,45.3362846	Canso	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.87506999999999,45.65603400000001	St. Peter's	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-59.98239539999999,45.89249179999999	Louisbourg	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-64.30542299999999,45.102319	Minas	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-63.28694069999999,45.3657733	Cobequid	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-64.24829199999999,45.849442	Chignecto	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
,44.233333,-76.478611	Fort Frontenac	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.55399249999999,45.5086699	Montreal	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.502449,20.350771	Baracoa	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-82.38855699999999,23.1168	Havana	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.64529399999999,19.850609	Monte Cristi	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.46689620000001,16.2732353	Grand-Terre Island	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-61.2568777,15.9232223	Marie-Galante Island	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-58.46687,7.01242	Essequibo, Dutch Guyana	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-72.199669,19.75622	Cap Français	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.44703,18.16448	Breastworks	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.3,17.98333	Clarendon Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.7932055,17.9661566	Kingston	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.7666667,18.0166667	Liguanea	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.42577,18.07767	Moore Town	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.32,17.87418	Pero, Jamaica	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.45025249999999,18.1757009	Port Antonio	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.840508,17.934681	Port Royal	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.53333,18.13333	Portland Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.578,17.918	St. David Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.70737,18.21384	St. George Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.78333,18.05	St. Elizabeth Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.95159900000002,17.994761	St. Jago de la Vega	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.85959629999999,18.3923184	St. James Parish	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.35,18.33333	Titchfield	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.8372,17.3469	Brimstone Hill Fortress	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.80882510000001,17.3348813	English quarter of St. Christophers	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.85,17.36667	Fig Tree Fort	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.7,17.31667	French quarter of St. Christophers	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.723587,17.294777	Fort Londonderry	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-62.8455837,17.3551438	Sandy Point, St. Kitts	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-60.98746869999999,14.0101094	Carenage	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.64999999999999,9.549999999999999	Porto Bello	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.0622028,-12.0478158	Lima	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.523,43.8772	Fort Frederick	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.5212465,43.87908119999999	Pemaquid	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.4922699,43.8755047	New Harbor	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.6482581,43.16174830000001	York, ME	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.2553259,43.66147100000001	Portland	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.7905955,44.7130794	Norridgewock	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.33449209999999,43.5901974	Scarborough	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.2772222,43.7405556	Falmouth, ME	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.8025739,44.0881035	Fort Richmond	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.9669961,43.9140162	Fort George, ME	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.5091667,43.9575	Bristol, ME	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.5586582,43.955914	Walpole	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.633657,43.8764706	Boothbay	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.53861859999999,44.0365242	Newcastle, ME	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.8009529,43.9187038	Woolwich	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.37560169999999,44.0952725	Waldoboro	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.2341667,43.8511111	North Yarmouth	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.8635506,43.26831989999999	Berwick	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-69.8581002,43.7354367	Small Point Harbor	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.9477546,42.9814292	Exeter, NH	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.71777,43.06346	New Castle, NH	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.7625532,43.0717552	Portsmouth, NH	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.7101527,43.0713608	Fort William and Mary	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.0597732,42.3584308	Boston	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.10973349999999,42.3736158	Cambridge	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.87727509999999,42.8125913	Newburyport	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.6672621,41.9584457	Plymouth	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
