point	title	description	icon
42.7653662 -71.46756599999999	New England	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
38.5976262 -80.4549026	North America	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
6.4402 7.4943	Africa	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
47.516231 14.550072	Europe	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
20.0 -70.0	West Indies	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
13.0 -63.0	British Caribbean Islands	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
16.0 -70.0	French, Spanish, and Dutch Caribbean	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
11.24194 -74.20528	Spanish Coast	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
52.3555177 -1.1743197	England	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
46.227638 2.213749	France	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
51.165691 10.451526	Germany	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
55.378051 -3.435973	Great Britain	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
53.41291 -8.24389	Ireland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
52.132633 5.291265999999999	The Netherlands	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
51.919438 19.145136	Poland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
39.39987199999999 -8.224454	Portugal	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
59.89444 30.26417	Russia	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
59.1166667 15.1333333	Sweden	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
40.46366700000001 -3.74922	Spain	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
46.818188 8.227511999999999	Switzerland	region	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
17.0746557 -61.8175207	Antigua	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
24.25 -76.0	Bahama Islands	colony	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
